level,,,,,,,,,,,,
0,TOOLS AND APPLICATIONS,,,,,,,,,,,
,Simulating the impact of natural hazards requires significant computational power. These tools & applications will give you access to high-performance computing power from the world-class systems at Texas Advanced Computing Center.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Resources,,,,,
category,Title,logo1-filename,short descript,Keywords,LicenseType,Overview,descript,user-guide link,video tutorials,Official Resources,how to cite,related apps
Simulation,OpenSees,ops.jpg,Geotechnical and structuralsim,"EQ, Wind",Open Source,"The Open System for Earthquake Engineering Simulation (OpenSees) is a software framework for simulating the static and seismic response of structural and geotechnical systems. It has advanced capabilities for modeling and analyzing the nonlinear response of systems using a wide range of material models, elements, and solution algorithms.",Read step-by-step instructions on getting started and a detailed breakdown of version differences in the User Guide.,xxx.html,url1…,,,
,Adcirc,,,,,ADCIRC_Overview_filename.html,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Analysis,Jupyter,,,,,,,,,,,
,Matlab,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GIS Tools,HazMapper,,,,,,,,,,,
,QGIS,,,,,,,,,,,
,,,,,,,,,,,,
Visualization,FigGen,,,,,,,,,,,
,GID,,,,,,,,,,,
,,,,,,,,,,,,
Hazard Apps,,,,,,,,,,,,
,,,,,,,,,,,,
Utilities,,,,,,,,,,,,
